issue_id,issue_type,priority,description_length,num_comments,time_to_resolve_hours,time_in_progress_hours,lines_added,lines_deleted,lines_updated_est,total_files_changed,num_commits
CALCITE-6867,Bug,Major,808,13,124.09222222222222,111.1057236111111,26,1,1,2,1
CALCITE-6865,Task,Major,337,2,26.14,26.011670833333334,1,1,1,1,1
CALCITE-6864,Bug,Minor,887,2,16.06972222222222,,4,3,3,2,1
CALCITE-6856,Improvement,Major,186,0,11.8925,,21,0,0,1,1
CALCITE-6853,Bug,Major,3937,4,99.1275,83.70300194444444,26,0,0,3,1
CALCITE-6850,Bug,Minor,197,5,144.43,,44,2,2,3,1
CALCITE-6847,Improvement,Major,808,15,107.49666666666667,,56,5,5,2,1
CALCITE-6846,New Feature,Major,2743,20,457.3097222222222,,1366,0,0,9,1
CALCITE-6845,Task,Major,57,1,2.3725,,40,53,40,9,1
CALCITE-6844,Improvement,Major,364,3,225.4111111111111,,309,285,285,3,1
CALCITE-6843,Task,Major,109,1,2.9591666666666665,,134,14,14,19,1
CALCITE-6839,Bug,Major,396,8,125.2838888888889,125.28162694444445,76,0,0,3,1
CALCITE-6838,Bug,Major,1219,4,107.75972222222222,103.85020166666668,31,34,31,4,1
CALCITE-6837,Bug,Major,3844,3,285.9875,218.50710777777778,67,13,13,3,1
CALCITE-6836,Bug,Major,520,6,883.7247222222222,,388,0,0,5,1
CALCITE-6835,Bug,Major,359,3,1241.3855555555556,974.5304913888889,180,7,7,5,1
CALCITE-6834,Bug,Major,1950,6,982.5563888888889,953.3154363888889,94,9,9,4,1
CALCITE-6833,Bug,Major,947,3,160.38833333333332,,9,9,9,2,1
CALCITE-6832,Bug,Major,2133,3,188.9572222222222,188.95555666666667,107,19,19,4,1
CALCITE-6831,Improvement,Major,245,2,89.8386111111111,,69,0,0,7,1
CALCITE-6827,Task,Major,801,3,4.7283333333333335,,2,0,0,2,1
CALCITE-6825,Bug,Critical,960,2,1102.1847222222223,598.3325625,65,0,0,3,1
CALCITE-6824,Bug,Major,3866,11,209.1313888888889,155.21722749999998,239,10,10,4,1
CALCITE-6821,Improvement,Major,396,2,63.619166666666665,,56,2,2,6,1
CALCITE-6820,Improvement,Major,1693,13,1196.2833333333333,329.8841016666667,156,11,11,5,1
CALCITE-6819,Bug,Major,545,6,279.86611111111114,,50,5,5,4,1
CALCITE-6818,Improvement,Major,182,2,72.87388888888889,,13,1,1,2,1
CALCITE-6817,Improvement,Minor,730,14,98.37,,135,5,5,8,1
CALCITE-6815,Improvement,Major,483,7,65.54861111111111,,71,2,2,6,1
