issue_id,issue_type,priority,description_length,num_comments,time_to_resolve_hours,time_in_progress_hours,lines_added,lines_deleted,lines_updated_est,total_files_changed,num_commits
IVY-1420,Bug,Major,207,2,38798.4775,0.05222805555555555,669,299,299,17,3
IVY-1419,Bug,Major,730,2,41330.78944444445,0.16545583333333333,142,15,15,4,1
IVY-1412,Bug,Minor,752,1,4.815833333333333,,5,8,5,2,1
IVY-1408,Improvement,Minor,896,5,61.73583333333333,,9,0,0,2,1
IVY-1405,Bug,Minor,235,1,202.38194444444446,,3,1,1,2,1
IVY-1404,Bug,Major,3537,2,38512.236666666664,,158,1,1,7,1
IVY-1400,Bug,Minor,744,4,60.96194444444444,,4,3,3,2,1
IVY-1399,Bug,Major,308,7,11057.5675,,288,0,0,11,1
IVY-1396,Bug,Minor,774,4,82.67083333333333,,65,2,2,6,1
IVY-1392,Improvement,Minor,1119,2,265.05333333333334,,9,0,0,3,1
IVY-1391,Bug,Blocker,261,2,0.3013888888888889,,155,1,1,5,1
IVY-1388,Bug,Major,1278,16,895.5233333333333,,59,0,0,3,1
IVY-1383,Bug,Minor,942,2,80.465,,2,1,1,2,1
IVY-1381,Improvement,Minor,822,5,158.1627777777778,,7,0,0,2,1
IVY-1378,Bug,Critical,1818,16,553.3586111111111,,25,22,22,3,2
IVY-1376,Bug,Major,31325,1,2335.851111111111,,193,13,13,11,1
IVY-1373,Bug,Major,966,1,7.670833333333333,,64,14,14,10,1
IVY-1367,New Feature,Minor,1060,1,309.8088888888889,,82,2,2,5,1
IVY-1366,Bug,Major,974,2,889.7186111111112,,182,7,7,12,1
IVY-1364,Bug,Major,5239,3,592.0461111111111,,1655,386,386,53,1
IVY-1363,Bug,Major,3559,17,596.1252777777778,,1660,412,412,55,2
IVY-1362,Bug,Major,3607,4,1269.8561111111112,,17,7,7,3,2
IVY-1359,Bug,Major,1409,3,621.5811111111111,,1655,386,386,53,1
IVY-1357,Bug,Major,870,1,1616.013611111111,,2,1,1,2,1
IVY-1356,Bug,Major,4413,1,1923.838611111111,,100,5,5,8,1
IVY-1355,Bug,Major,406,2,45085.6375,,32,5,5,3,1
IVY-1353,Bug,Critical,499,1,1861.3847222222223,,2,1,1,2,1
IVY-1346,Improvement,Minor,1369,9,2804.4869444444444,,160,34,34,7,1
IVY-1344,Bug,Minor,102,2,2715.003888888889,,4,2,2,3,1
IVY-1343,Bug,Critical,1729,3,173.3625,,130,0,0,3,1
IVY-1340,Bug,Minor,4043,2,56.339166666666664,,28,1,1,3,1
